NameMonthYear,Year,Month_Year,Account_ID,Account_Type,Package,Customer_Demographics_Income,Customer_Demographics_Marital_Status,Customer_Demographics_Education,Number_of_Deposits_Credits,Number_of_Debits,Bill_Payments,Cash_Withdrawals,Point_of_sale_Transactions,Total_Value_of_Debits,Deposits_Made_During_The_Month_Credits,Total_Service_Charges,Total_Balance_at_Month_End,Number_of_Transactions
April-2023,2023,2023-04-20,222,Chequing,Gold,Low Income,Divorced,Some College,396,411,$552.00,100.18,$998.00,"$34,777.90","$46,540.95",$31.56,2456.26,128
April-2023,2023,2023-04-20,251,Chequing,Bronze,Medium Income,Single,College Degree,413,549,$501.00,1862.26,$893.00,"$41,054.67","$42,959.23",$47.46,4917.94,24
April-2023,2023,2023-04-20,877,Savings,Silver,Medium Income,Divorced,Some College,563,160,$933.00,1787.19,$577.00,"$16,036.55","$40,398.59",$51.83,393.79,343
April-2023,2023,2023-04-22,151,Chequing,Silver,Low Income,Single,College Degree,5,612,$81.00,1909.48,$421.00,"$34,283.15","$33,759.13",$96.30,9474,858
April-2023,2023,2023-04-22,290,Savings,Bronze,High Income,Single,College Degree,406,198,$600.00,2480.22,$664.00,"$9,629.14","$7,262.99",$115.39,6364.48,578
April-2023,2023,2023-04-23,307,Chequing,Bronze,Medium Income,Married,Master's Degree,550,993,$950.00,2233.51,$860.00,"$13,023.26","$46,918.24",$137.23,7677.73,968
April-2023,2023,2023-04-23,452,Savings,Silver,High Income,Married,College Degree,589,117,$860.00,1265.47,$953.00,"$26,273.90","$35,047.13",$115.53,6869.87,114
April-2023,2023,2023-04-24,80,Savings,Silver,Medium Income,Divorced,High School Graduate,639,110,$504.00,169.04,$555.00,"$24,098.22","$16,082.48",$72.38,5558.78,365
April-2023,2023,2023-04-24,893,Chequing,Bronze,High Income,Single,Some College,231,461,$51.00,939.68,$784.00,"$33,604.21","$46,403.46",$27.93,5478.64,857
April-2023,2023,2023-04-24,807,Chequing,Silver,Medium Income,Single,Master's Degree,307,209,$506.00,1843.02,$446.00,"$15,635.71","$8,611.20",$123.28,8698.79,739
April-2023,2023,2023-04-25,192,Savings,Silver,Low Income,Married,Some College,146,436,$296.00,2523.46,$587.00,"$31,765.10","$1,165.10",$146.58,7238.09,630
April-2023,2023,2023-04-25,446,Savings,Silver,High Income,Single,Master's Degree,647,934,$236.00,465.39,$549.00,"$30,505.51","$32,556.99",$91.88,5594.55,738
April-2023,2023,2023-04-26,75,Chequing,Gold,Medium Income,Married,College Degree,957,850,$661.00,2868.88,$243.00,"$18,291.50","$38,266.77",$79.96,4326.96,38
April-2023,2023,2023-04-27,430,Savings,Bronze,High Income,Single,Master's Degree,507,768,$169.00,1578.15,$596.00,"$8,991.34","$43,268.58",$135.14,7984.83,889
April-2023,2023,2023-04-27,647,Savings,Gold,Medium Income,Divorced,Some College,638,356,$41.00,523.36,$857.00,"$3,568.49","$33,750.05",$83.57,9720.17,270
April-2023,2023,2023-04-27,656,Savings,Gold,High Income,Single,College Degree,284,167,$916.00,757.42,$946.00,"$5,493.73","$32,795.77",$57.12,7232.84,171
April-2023,2023,2023-04-28,628,Chequing,Silver,Low Income,Married,High School Graduate,784,99,$691.00,555.95,$296.00,"$36,795.71","$47,411.39",$31.46,5021.9,166
April-2023,2023,2023-04-30,818,Savings,Bronze,Low Income,Married,High School Graduate,642,416,$839.00,267.92,$362.00,"$3,894.27","$30,743.15",$108.46,1828.15,812
April-2023,2023,2023-04-30,779,Savings,Gold,High Income,Single,College Degree,306,144,$664.00,684.22,$560.00,"$30,195.69","$36,809.82",$149.98,4210.52,70
April-2023,2023,2023-04-30,542,Chequing,Gold,High Income,Divorced,Master's Degree,299,243,$408.00,1802.42,$86.00,"$24,350.09","$26,450.54",$19.25,9158.96,332
May-2023,2023,2023-05-01,299,Chequing,Bronze,High Income,Single,College Degree,725,74,$623.00,1848.65,$397.00,"$20,774.22","$49,001.11",$31.62,855.22,404
May-2023,2023,2023-05-01,394,Chequing,Gold,High Income,Married,Master's Degree,863,169,$45.00,1184.85,$517.00,"$37,026.15","$44,322.55",$136.68,7898.17,946
May-2023,2023,2023-05-01,575,Savings,Gold,Low Income,Divorced,High School Graduate,843,70,$720.00,1231.69,$794.00,"$5,026.65","$16,824.68",$108.75,2388.92,610
May-2023,2023,2023-05-03,454,Savings,Bronze,Medium Income,Single,Master's Degree,898,600,$441.00,197.01,$204.00,$155.85,"$14,422.73",$40.66,6020.81,145
May-2023,2023,2023-05-04,458,Savings,Silver,Low Income,Single,High School Graduate,688,660,$242.00,1779.71,$521.00,"$17,044.43","$24,617.64",$52.27,2433.4,959
May-2023,2023,2023-05-04,481,Savings,Silver,High Income,Single,Some College,545,201,$4.00,2643.99,$476.00,"$4,248.87","$26,736.70",$114.06,4210.67,74
May-2023,2023,2023-05-04,86,Chequing,Bronze,High Income,Married,High School Graduate,394,605,$562.00,621.42,$877.00,"$41,331.13","$27,682.06",$109.17,5613.15,421
May-2023,2023,2023-05-04,593,Chequing,Bronze,High Income,Married,High School Graduate,76,292,$161.00,1072.04,$198.00,"$20,626.92","$36,541.84",$146.61,2635.16,401
May-2023,2023,2023-05-04,948,Savings,Bronze,Low Income,Divorced,Master's Degree,61,721,$267.00,2625.59,$86.00,"$37,234.12","$19,911.87",$53.05,7946.09,254
May-2023,2023,2023-05-05,638,Chequing,Gold,Low Income,Divorced,College Degree,975,841,$98.00,413.61,$309.00,"$8,377.12","$49,364.17",$16.64,2556.67,656
May-2023,2023,2023-05-05,614,Savings,Gold,Low Income,Divorced,Some College,935,647,$785.00,974.8,$468.00,"$17,550.19","$27,091.23",$115.74,170.2,772
May-2023,2023,2023-05-05,198,Chequing,Bronze,Low Income,Married,Master's Degree,929,528,$946.00,2597.31,$771.00,"$46,827.70","$27,027.86",$19.36,6912.39,987
May-2023,2023,2023-05-05,158,Savings,Bronze,High Income,Single,Master's Degree,803,413,$417.00,2220.16,$122.00,"$41,490.29","$46,794.05",$84.63,6881.19,966
May-2023,2023,2023-05-05,218,Savings,Gold,High Income,Single,High School Graduate,329,464,$848.00,1068.98,$790.00,"$39,481.47",$977.81,$121.72,5595.71,700
May-2023,2023,2023-05-05,532,Chequing,Gold,Low Income,Divorced,Master's Degree,581,707,$86.00,613.97,$245.00,"$25,880.17","$17,473.15",$52.39,3974.06,371
May-2023,2023,2023-05-06,826,Chequing,Bronze,High Income,Divorced,High School Graduate,232,306,$621.00,1126.88,$7.00,"$9,600.68","$8,602.91",$47.42,4257.58,688
May-2023,2023,2023-05-06,895,Savings,Silver,Low Income,Single,Master's Degree,956,361,$14.00,858.26,$524.00,"$26,059.22","$36,599.63",$40.53,6614.27,760
May-2023,2023,2023-05-06,864,Chequing,Silver,Low Income,Married,Master's Degree,4,176,$459.00,1581.83,$742.00,"$29,188.46","$27,208.18",$140.18,8616.8,775
May-2023,2023,2023-05-08,747,Savings,Bronze,Medium Income,Married,Some College,763,749,$514.00,694.45,$147.00,"$28,781.10","$44,495.16",$27.69,9437.26,841
May-2023,2023,2023-05-09,527,Chequing,Bronze,High Income,Single,Some College,730,207,$104.00,2687.67,$339.00,"$30,671.37","$22,091.21",$13.63,8516.45,120
May-2023,2023,2023-05-09,360,Chequing,Gold,Medium Income,Divorced,Some College,645,898,$251.00,2532.1,$312.00,"$17,855.69","$45,234.71",$134.59,264.18,284
May-2023,2023,2023-05-09,183,Chequing,Gold,Medium Income,Divorced,High School Graduate,627,603,$151.00,1766.61,$856.00,"$32,241.22","$5,267.07",$58.47,8815.02,796
May-2023,2023,2023-05-10,267,Chequing,Gold,High Income,Married,High School Graduate,61,320,$414.00,1608.29,$935.00,"$15,984.08","$28,385.47",$119.68,9298.19,178
May-2023,2023,2023-05-10,763,Savings,Gold,High Income,Single,Master's Degree,196,785,$373.00,791.76,$439.00,"$42,872.80","$39,732.64",$119.15,5282.79,160
May-2023,2023,2023-05-11,729,Chequing,Silver,Medium Income,Married,High School Graduate,496,472,$829.00,2460.44,$19.00,"$3,505.67","$27,240.71",$84.21,9471.48,849
May-2023,2023,2023-05-12,46,Chequing,Bronze,Low Income,Married,Master's Degree,25,798,$542.00,2320.24,$645.00,"$14,897.27","$8,293.24",$19.41,2444.79,632
May-2023,2023,2023-05-12,302,Savings,Bronze,Medium Income,Single,Master's Degree,639,336,$195.00,1646.64,$154.00,"$37,483.13","$41,192.45",$40.94,471.62,506
May-2023,2023,2023-05-12,326,Chequing,Silver,Medium Income,Married,High School Graduate,859,256,$463.00,2069.21,$728.00,"$44,326.93","$30,327.32",$10.97,153.44,329
May-2023,2023,2023-05-12,553,Savings,Silver,High Income,Divorced,Some College,952,739,$342.00,704.08,$204.00,"$1,969.93","$32,373.22",$24.62,7702.66,757
May-2023,2023,2023-05-13,124,Savings,Silver,Low Income,Married,College Degree,874,863,$865.00,2043.11,$360.00,"$34,263.02","$17,664.62",$59.89,5198.67,771
May-2023,2023,2023-05-13,633,Savings,Bronze,Medium Income,Single,Some College,530,395,$70.00,2223.27,$404.00,"$47,819.72","$31,296.51",$76.45,7979.43,542
May-2023,2023,2023-05-13,944,Savings,Silver,Medium Income,Divorced,Master's Degree,851,826,$798.00,866.08,$518.00,"$41,346.02","$15,727.09",$128.46,304.95,939
May-2023,2023,2023-05-14,959,Savings,Bronze,High Income,Single,Master's Degree,331,850,$841.00,1532.31,$177.00,"$28,416.23","$18,915.61",$54.88,3393.33,662
May-2023,2023,2023-05-14,987,Chequing,Gold,Medium Income,Single,High School Graduate,842,452,$903.00,2322.24,$857.00,"$24,631.28","$16,946.37",$22.96,8081.63,484
May-2023,2023,2023-05-14,635,Chequing,Silver,Medium Income,Married,High School Graduate,396,600,$826.00,2028.25,$541.00,"$20,083.14","$22,151.14",$102.37,6152.87,414
May-2023,2023,2023-05-14,626,Chequing,Silver,High Income,Divorced,College Degree,925,968,$182.00,2519.73,$898.00,"$36,795.79","$10,118.05",$91.53,6155.21,616
May-2023,2023,2023-05-14,677,Savings,Gold,Medium Income,Divorced,Some College,627,635,$41.00,922.88,$930.00,"$43,910.37","$24,473.07",$84.97,7572.58,869
May-2023,2023,2023-05-14,162,Chequing,Gold,High Income,Single,Master's Degree,202,477,$185.00,634.75,$668.00,"$29,766.50","$14,287.33",$106.49,3273.15,3
May-2023,2023,2023-05-14,350,Savings,Silver,High Income,Married,High School Graduate,756,633,$222.00,1650.56,$46.00,"$7,776.10","$10,993.19",$23.74,5845.99,495
May-2023,2023,2023-05-15,372,Savings,Silver,Medium Income,Married,Master's Degree,10,933,$400.00,790.73,$31.00,"$49,446.02",$883.52,$16.49,3525.94,666
May-2023,2023,2023-05-15,692,Savings,Gold,High Income,Married,High School Graduate,961,274,$601.00,1523.72,$70.00,"$9,980.31","$35,108.10",$115.86,9926.06,860
May-2023,2023,2023-05-15,613,Chequing,Gold,Medium Income,Single,Some College,264,37,$512.00,105.46,$739.00,"$29,301.36","$35,925.83",$58.32,3007.27,668
May-2023,2023,2023-05-15,749,Chequing,Gold,High Income,Married,High School Graduate,15,256,$817.00,457.42,$773.00,"$6,358.58","$26,277.90",$110.86,6806.63,374
May-2023,2023,2023-05-16,619,Savings,Gold,High Income,Married,Some College,85,283,$522.00,489.34,$612.00,"$8,441.67","$38,618.33",$94.17,2593.95,106
May-2023,2023,2023-05-16,712,Chequing,Bronze,Medium Income,Married,College Degree,201,960,$287.00,2126.88,$948.00,"$3,875.89","$47,788.59",$31.79,9045.91,29
May-2023,2023,2023-05-16,936,Chequing,Gold,Low Income,Single,Master's Degree,49,396,$508.00,620.67,$3.00,"$35,847.18","$34,591.69",$6.27,555.49,507
May-2023,2023,2023-05-16,315,Chequing,Bronze,Low Income,Divorced,High School Graduate,930,839,$237.00,1163.29,$431.00,"$39,140.29","$48,541.35",$95.38,7212.04,949
May-2023,2023,2023-05-16,503,Savings,Bronze,High Income,Single,Master's Degree,893,948,$919.00,426.86,$86.00,"$30,830.41","$13,436.43",$110.11,5448.8,118
May-2023,2023,2023-05-16,435,Chequing,Silver,Low Income,Married,Some College,121,280,$985.00,1878.3,$9.00,"$36,546.04","$25,856.34",$124.08,1584.57,172
May-2023,2023,2023-05-16,39,Chequing,Bronze,High Income,Divorced,College Degree,205,792,$657.00,1980.6,$852.00,"$21,544.47","$42,807.80",$65.35,1240.19,736
May-2023,2023,2023-05-17,501,Chequing,Bronze,Low Income,Single,High School Graduate,691,425,$857.00,1101.64,$101.00,"$6,098.93","$45,116.68",$114.54,3315.92,76
May-2023,2023,2023-05-17,926,Savings,Bronze,Low Income,Married,College Degree,967,864,$897.00,1134.02,$988.00,"$41,748.50","$43,447.19",$95.78,7810.74,720
